"Name","Title","Number of books","Number of verses","Category I","Category II","Source","wikidata","VIAF","EDIT16","OPAC SBN","URN","PURL"
"Petrus Apollonius @Collatius","Hierosolyma",4,2565,"hist_far",,"Braun 2020: 23","Q61474878",,,,,"http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10207574-7 "
"Jacopo @Sadoleto","Curtius",1,350,"hist_far",,"Braun 2020: 29","Q682478",,,,,
"Hieronymus @Maripertus","Seraphicae",20,5300,"hag",,"Braun 2020: 34","Q26265364",,46673,,"urn:nbn:de:bvb:12-bsb10190898-5 ","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10190898-5 "
"Scipio @Capicius","Vates Maximus",3,1705,"bib",,"Braun 2020: 49","Q2260338",,,,,
"Fabio @Barignani","Gigantomachia",4,3562,"myth",,"Braun 2020: 62","Q55904542",,,,,
"Bartholomaeus @Botta","Davidias",12,13950,"bib",,"Braun 2020: 77",,264123564,,,"urn:nbn:de:bvb:12-bsb11270773-6 ","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11270773-6 "
"Franciscus @Benci","Quinque Martyres",6,5600,"hist_close","hag","Braun 2020: 140","Q30014571",,,,,
"Paulus @Musconius","Marias",3,2480,"bib",,"Braun 2020: 163",,,,,,
"Ioannes Marcus @Fannianus","Bellum Arrianum",6,2830,"hist_far",,"Braun 2020: 178",,,,,,
"M. Antonio @Bonciari","Seraphis",3,1530,"hag",,"Braun 2020: 194","Q21545041",,,,,
"Ioannes Petrus @de Alexandro","Hierosolyma Eversa",10,6370,"hist_far",,"Braun 2020: 207",,,,"IT\ICCU\NAPE\007936",,"http://data.onb.ac.at/rep/109C1F24"
"Odorico @Valmarana","Daemonomachia",25,18900,"bib",,"Braun 2020: 230",,,,,,
"Bartholomaeus Tortolettus","Juditta Vindex",6,4689,"bib",,"Braun 2020: 334","Q30308589",,,"IT\ICCU\BVEE\038074",,"https://archive.org/details/bub_gb_3n_oKhaheQYC"
